id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
959,959,"iłe",conj,as,"comparison (as ... as); agreement to means of comparison! ...or rather like the ABS argument in the main clause? (see Crow.002)... with
 ""CONT.ESS"" on verb stems(sic!) [see Widow.074!]. Might mean
 ""too"" (overly) (see Uneyzat.029 and before)
",2014-06-25
960,960,"iłi",v,approach,intransitive!,2012-08-13
961,961,"iłi",v,resemble,"agrees with the topical element; means of comparison is in POSS.ESS ('like X' = ""X-qo"")
",2014-06-25
962,962,"iłira",num,six.OBL," 
",2009-02-08
963,963,"iłno",num,six," 
",2009-04-07
964,964,"iƛi",v,"plough; plant"," 
",2012-08-09
965,965,"iƛi-šeƛ’u",v,get.dressed,"Not in the Dictionary!  Arsen: ""odevat'sja""",2014-05-20
966,966,"iƛi-šeƛ’ur",v,dress.up," 
",2012-08-27
967,967,"iƛ’ir",v,plunge,"Not in the Dictionary! (Arsen: ""vonzit'"")",2014-05-20
968,968,"iƛ’u",n2,"bottom; lid","Not in the dictionary!",2014-03-02
969,969,im,n3,pole," 
",2007-04-10
970,970,imadu,n3,tale,"Dict.: ""emadu""",2007-02-09
971,971,iman,n3,faith," 
",2010-03-27
972,972,im-m-m-m,interj,mhmhmh," 
",2012-08-27
973,973,imxu,n2,cave,"Dict.: ""inxu"" (""imxu"" = Mokok)",2014-04-11
974,974,indowri,n3,turkey," 
",2012-08-28
975,975,inkar,n3,rejection,"reject to V... = V-ani-x inkar bodi-",2013-08-04
976,976,insan,n1,human," 
",2008-10-16
977,977,"inšaallah",excl,so.God.will," 
",2009-12-20
978,978,"inžit",comp,disgrace," 
",2010-05-24
979,979,"inžitłi",n4,abuse,"Dict. doesn't have the word ""abuse"" (sth. like nadruganie?) among its translations.
",2014-06-25
980,980,iqi,v,"get; hold","Subject is POSS.ESS(?) or LAT(Handkerchief.016, Widow.016, Widow.062)
",2014-06-25
981,981,"iqˤi",v,watch,"Not in the Dictionary! (i.S.v. 'beobachten, Ausschau halten'; Arsen: ""sledit'"")
",2014-06-25
982,982,"iqi-ƛiqi",v,find,"Not in the Dictionary! (Arsen: ""nayti""; Causative seems to mean ""get oneself sth."" / besorgen)
",2014-06-25
983,983,iqir,v,"stop; take.away; win; catch; find","Maybe this also means ""hold"" or ""support"" (by hands).",2014-06-25
984,984,"iq’ˤi",v,approach,"Dict.: ""-iq'i-"" (biq'a) [different meaning!]",2014-05-20
985,985,"iq’ˤir",v,move.aside,transitive,2009-09-07
986,986,irsi,n3,heir," 
",2006-11-06
987,987,is,v,"take; buy","""tlh'iri risnäy"" (if [you] take above) = if [you] promise...(?) (see Eagle.043) ...no, it should mean ""if you insist"", right?; ""rotlh(tlh)on
 risa"" (take the middle) seems to mean 'to agree' or something
 (dogovorit'sja)
",2014-06-25
988,988,is,n3,bull," 
",2007-04-21
989,989,"isał",v,be.difficult," 
",2007-04-02
990,990,"isä",v,conceive,"Dict.: ""bisa""",2006-09-15
991,991,isi,n2,snow," 
",2006-10-11
992,992,"isk’a",v,keep,"Not in the dictionary!",2006-11-11
993,993,"Ismaʕil",n1,Ismail,"male name",2013-09-26
994,994,istolow,n,dining.room,"Not in the Dictionary! Maybe there is a vowel after the ""w""!",2014-06-25
995,995,istowli,n4,table,"Dict. doesn't have dialect form ""ist'owli"" (only ""istowli"" and ""ist'oli"").",2014-06-25
996,996,"iš",v,eat,Intransitive!,2013-09-18
997,997,"iš",n,concern,"Not in the Dictionary! (Arsen: ""delo"")",2013-08-04
998,998,"išam",n3,aim,"'to take aim' = ""isham bisa""",2013-08-04
999,999,"išara",n3,signal," 
",2013-10-15
1000,1000,"iši",v,"drive.in; lock.up"," 
",2009-08-24
1001,1001,"iši",v,weave,"Not in the Dictionary! (Arsen: ""tkat'"", translation: ""vjazat'; tkat'"")",2014-06-25
1002,1002,"iš-uti",v,eat,intransitive,2012-08-28
1003,1003,"iš-utir",v,feed," 
",2012-08-15
1004,1004,iti,v,touch,"Direct object is usually ""hand""; touched object is in POSS.ESS case; ""asoq -iti-"" (touch the sky) = to be in 7th heaven
",2014-06-25
1005,1005,iti-iti,v,touch,"intransitive, target = POSS.ESS",2013-08-04
1006,1006,itir,v,touch," 
",2006-11-27
1007,1007,"it’r",v,extinguish," 
",2010-04-23
1008,1008,ix,n3,torrent," 
",2009-11-03
1009,1009,ix,n3,spring,"Dict. doesn't have OBL in ixda-!",2014-02-02
1010,1010,ixdax,adv,in.spring," 
",2008-04-22
1011,1011,ixer,v,take," 
",2009-10-14
1012,1012,ixi,v,hang,(itr.),2013-08-19
1013,1013,ixi,v,heal,"No agreement! Dict.: ""egha"" (eghi-), Mok.: ""ixa"" (ixi-)",2014-06-25
1014,1014,ixin,n4,bag,"Dict. has ""ixinyo-"" and not the OBL forms in ""ixino-"" and ""ixina-""(?)!",2014-06-25
1015,1015,ixiw,adj,big,"Dict.: ""ixyu""; No agreement!",2013-08-04
1016,1016,ixtilat-kep,n2,fun," 
",2010-02-19
1017,1017,ixtiyar,n3,permission," 
",2010-02-24
1018,1018,iy,v,"know; feel","""-iynch'ey"" ('not thinking') = accidentally",2014-05-20
1019,1019,iyo,n3,blood,"Dictionary has it as class II, but in the texts it's always class III.",2014-06-25
1020,1020,iyr,v,"learn; recognize; explain; find.out","""mi debeq riryrno  xciix = I warn you!  Is there a difference between ""-iyir-"" and ""-iyer-"" (let know)?
",2014-06-25
1021,1021,izi,v,"get.up; get","intransitive? (get up [a hill] = [hhon]-qo; POSS.ESS, get up [a hill] = SUPER.LAT); but sometimes A and P are absolutive (with
 feelings like joy etc., see for example Bear_ear.027). Agreement is
 with the person that is in joy (when used with ""gh`agh`u -izi-"")
",2014-06-25
1022,1022,"izi-ˤoƛ’u",v,go.up.and.down,"Not in the dictionary! (Arsen: podnimat'-opuskat')",2014-06-25
1023,1023,izir,v,lift," 
",2014-01-29
1024,1024,izi-uti,v,"work; be.busy","Not in the Dictionary! Arsen's translation is 'vstat'-perevernut'sja' in the glossing and 'trudit'sja' in the translation (2×)
",2014-06-25
1025,1025,izmu,n3,permission," 
",2006-12-08
1026,1026,"iži",v,"carry; lead; take.out","Seems to mean ""be going to marry"" (of a man) too; can mean ""to throw"" with CAUS suffix, which is not included in the Dictionary
 (see Arabuzan.008)
",2014-06-25
1027,1027,"kač’u",n4,loop," 
",2010-01-19
1028,1028,"kaɣat",n2,letter,"to someone = X-SUPER.LAT; from someone = X-GEN1; in the letter = ""kaghatyotlh'""
",2014-06-25
1029,1029,kak,n4,prayer,"(Mohammedan prayer)",2007-07-31
1030,1030,"kakičuri",n4,ablution,"Dict.: ""kakchuri""; = religious act of washing before a prayer",2014-06-25
1031,1031,"kʷalda",n4,sledgehammer,"Not in the Dictionary! (Arsen: kuvalda); only occurs in the old version of the texts (plural is: kwaldabi)
",2014-06-25
1032,1032,"kʷal-kʷal",n,trouble,"Not in the Dictionary!",2009-09-12
1033,1033,kami,v,get.lost," 
",2014-04-24
1034,1034,kamir,v,lose," 
",2008-10-29
1035,1035,"kʷani",n,swimming,"Not in the Dictionary! (Arsen: 'plavanie'); 'to swim' might be ""kwani -ok'-""
",2014-06-25
1036,1036,"kanłi",n3,light,"Also: 'Sehkraft, Augenlicht'",2013-08-04
1037,1037,kapek,n2,kopeck," 
",2010-07-19
1038,1038,"karačel",n,wave,"Avar word: (-ał, -ałul, -al//karačalabi). Avar dict. p.751",2014-06-25
1039,1039,"karačelyo",n,wave.OBL,"Avar word: (-ał, -ałul, -al//karačalabi). Avar dict. p.751",2014-06-25
1040,1040,"kʷaraħi",n3,perforated.spoon," 
",2009-08-20
1041,1041,"karamałi",n4,miracle," 
",2009-03-11
1042,1042,"kʷarkal",n,obstacle,"Dict.: ""kalkal""",2009-07-31
1043,1043,katam,n,calico,"Not in the Dictionary! (Arsen: ""bint""; translation: ""bjaz'"") = Baumwollstoff, perhaps related to the Arabic word for ""cotton""?
",2014-06-25
1044,1044,"kʷat’ił",v,be.late,"Not in the Dictionary! (Arsen: opozdat'-POT)",2014-05-20
1045,1045,"kʷat’izi",comp,be.late,"Dict.: ""kat'zi"" (also ""kwat'zi""; ""kwat'izi"" is Asakh)",2014-06-25
1046,1046,kawu,n3,gate,"Dict. has different OBL form.",2013-08-04
1047,1047,"kʷaxa",adv,"quickly; soon"," 
",2008-12-10
1048,1048,"kʷaxa-caxa",adv,soon,"Not in the Dictionary! (Arsen: ""vskore"")",2014-05-20
1049,1049,"kʷay",n,hand,"Not in the Dictionary! (Arsen: ruka)",2013-11-28
1050,1050,kec,v,sleep," 
",2012-08-06
1051,1051,"keč’",n3,song," 
",2007-07-02
1052,1052,"keč’o",n,left.side," 
",2008-05-25
1053,1053,"keč’oƛ’asi",adj,left," 
",2006-11-13
1054,1054,kedon,n2,sledgehammer,"Not in the Dictionary! (Arsen: kuvalda); old version of the text had ""kwalda(bi)"" (n4) for the same word
",2014-06-25
1055,1055,kepaw,adj,merry," 
",2010-05-03
1056,1056,kero,n3,ravine,"Dt.: ""Schlucht""",2008-09-18
1057,1057,kesu,n3,"secret; tale"," 
",2008-08-26
1058,1058,kesu,n3,form,"for pressing things",2013-12-14
1059,1059,keze,comp,meet,"intransitive: ""x-LAT/APUD.ESS y keze -oq-"" = 'x meets y'",2014-06-25
1060,1060,kici,n,proverb,"Not in the Dictionary! (Arsen: ""pogovorka"", probably class III)",2014-06-25
1061,1061,kici,n3,hook,"Dict. doesn't have OBL form in ""kicire-""",2014-05-20
1062,1062,"kičuriču",n4,earthquake,"Not in the Dictionary! (Arsen: zemletrjasenie); could it be kichu-richu?",2014-06-25
1063,1063,kid,n2,"girl; daughter"," 
",2013-07-20
1064,1064,Kidiro,n3,Kidero,"(Tsez village)",2009-08-25
1065,1065,Kidirobi,n1pl,Kidero.people,"people from Kidero, a Tsez village",2013-08-04
1066,1066,kik,n3,spring,"water spring (Quelle)",2008-08-20
1067,1067,kiki,v,feed,"Dict.: ""kikira""",2009-12-03
1068,1068,kiki,n3,breast," 
",2009-04-07
1069,1069,kikiw,adj,light,"Dict.: ""kikyu"" // opposite of 'heavy'",2013-08-04
1070,1070,kiko,n3,breast,"Dict.: ""kiki"" (?)",2008-08-20
1071,1071,kilometro,n3,kilometer," 
",2007-01-10
1072,1072,-kin,suf,even,"= ""focus particle""; sometimes turns interrogative pronouns into negative pronouns(?)
",2014-06-25
1073,1073,kinaw,adj,entire,"Not in the dictionary!",2008-11-09
1074,1074,kinawni,adj,"entire; all","adjective or something else?",2013-08-04
1075,1075,kinawnigi,adj,entire," 
",2009-12-01
1076,1076,kiri,n3,reward," 
",2007-06-06
1077,1077,kisa,n3,wallet,"Dict. says it's class IV (but cf. Testament.106)",2014-05-20
1078,1078,"kiʕangi",adj,some," 
",2006-11-03
1079,1079,koboro,n4,granary,"Dict. doesn't have OBL form in ""kobora-""",2014-05-20
1080,1080,"kočori",n3,forelock,"dt.: (Haar)Schopf",2007-03-24
1081,1081,kodi,n3,hair,"all the hair, not a single one; ""kodi -iti-"" (lit. 'to touch the hair' means 'to faint')
",2014-06-25
1082,1082,kodyox,adv,to.the.fireplace,"means: ""Friendly visiting of relatives, neighbours, friends in the evening for conversation and an exchange of news.""
",2014-06-25
1083,1083,kokoru,adj,soft," 
",2009-12-01
1084,1084,"koƛ’",v,can,"(-ix, -is, -an, -o)",2014-06-25
1085,1085,"koƛ’i",v,understand.to;,"with LAT subject; object can be a verb in the infinitive",2014-06-25
1086,1086,-kor,nsuf,???," 
",2007-03-24
1087,1087,kos,n3,peak," 
",2007-03-27
1088,1088,kosi,v,"gather; mow","Russian: ""kosit'"" (loanword???)",2013-08-04
1089,1089,"kosi-ut’i",v,mow.and.collect,"Not in the Dictionary! (Arsen: kosit'-otorvat')",2014-05-20
1090,1090,"kot’u",n2,beard,"Dict. doesn't have OBL form in ""kot'a-""",2014-05-20
1091,1091,"kreže-režek",adj,huge," 
",2007-01-10
1092,1092,kuc,n3,form,"n2 according to the Dictionary... perhaps this also means method (see text #72: ""Azhdahh bexaru kuc""; how to kill a dragon)?
",2014-06-25
1093,1093,kuczi,comp,"teach; learn","'X teaches Y to V' = ""X-ERG Y-ABS V-MSD-SUPER.LAT [-anitlh'or] kuczi [Y]-odiix  and...  'X learns to V' = ""X-ABS
 V-MSD-SUPER.LAT [-anitlh'or] kuczi [Y]-oqxo""
",2014-06-25
1094,1094,"kuči",v,defecate,"transitive! can be used as 'piss' too with object ""aq`u"" (urine)",2014-06-25
1095,1095,kud,n3,cradle,"Dict. doesn't have that oblique form.",2013-08-04
1096,1096,kudi,n3,oat.flour," 
",2010-01-07
1097,1097,"kuła",n4,sleeve,"""nesiz gugya kulha roda"" = make a sleeve on his back = 'to deceive him'
",2014-06-25
1098,1098,kumak,n3,help," 
",2006-11-03
1099,1099,"kumak-xalq’i",n1pl,assistants," 
",2012-08-28
1100,1100,"kumak-žek’u",n1,assistant," 
",2010-05-06
1101,1101,kur,v,"exhale; spread.out; throw; erect; shoot.from"," 
",2014-05-16
1102,1102,"kurzak’u",n3,falcon,"Dict. doesn't have OBL in ""kurzak'a-"" (is this an oblique form at all?)",2014-06-25
1103,1103,Kusa,n1,Kusa,"male name",2013-12-14
1104,1104,kusa,n1,beardless.man," 
",2014-01-05
1105,1105,"kuši",v,demolish," 
",2007-01-24
1106,1106,kutak,adv,too.much,"Not in the Dictionary! Could it also mean ""even more""? Arsen's translation in context was 'slishkom'. Somewhere else (Crow.037) it
 means ""silhno"" and in the context ""extremely"".
",2014-06-25
1107,1107,"kut’yo",n,right.side," 
",2012-08-27
1108,1108,"kut’yoƛ’a",adv,to.the.right," 
",2006-11-13
1109,1109,"kut’yoƛ’asi",adj,right," 
",2006-11-13
1110,1110,"k’ačaɣˤ",n1,bandit,"Dict.: ""q'achagh""",2006-12-12
1111,1111,"k’ʷač’no",v,groan,"Not in the Dictionary!",2014-06-11
1112,1112,"k’ʷaħal",comp,be.lazy,"Not in the Dictionary! (but see ""k'ahhallhi"" and ""k'ahhalaw"" there)",2014-06-25
1113,1113,"k’ak’ar",n,constriction,"Dict. only has k'ak'aru (narrow, Adj.)",2014-02-01
1114,1114,"k’al",n2,fast," 
",2007-06-06
1115,1115,"k’ałazi",n2,speech," 
",2007-03-13
1116,1116,"k’apya",n3,thread,"(-a, -as, -abi); The first -a in the brackets is long in the dict. ",2014-06-25
1117,1117,"k’eč’",n4,pearl," 
",2006-12-13
1118,1118,"k’eč’oli",n3,foal," 
",2008-03-18
1119,1119,"k’edanad",v,search," 
",2010-01-07
1120,1120,"k’edi",v,search,"Dict. doesn't have (oblique) stem ""k'ey-"" (found in ""k'eyx"").",2014-06-25
1121,1121,"k’ek’",v,move,intransitive,2009-08-26
1122,1122,"k’ek’",comp,moving,"Used with ""-ik'i-"" to mean ""to move, to stir""",2014-05-20
1123,1123,"k’ek’-ik’",v,move,intransitive,2013-11-21
1124,1124,"k’emot’",n2,wooden.case,"Dict.: k'emet' (asax.: k'emot')!; etym. probably < Komode?",2014-06-25
1125,1125,"k’eneč’",n2,egg," 
",2010-07-18
1126,1126,"k’es",n3,gullet,"Dict. doesn't have oblique form in ""-ma"" (or ""-mo"").",2014-06-25
1127,1127,"k’ešonad",v,play,"Dict.: ""k'eshanada""; itr.",2010-08-02
1128,1128,"k’et’u",n3,cat," 
",2007-03-27
1129,1129,"k’ʷeze",comp,can,"subject sometimes(?) is POSS.ESS, sometimes ABS?",2014-06-25
1130,1130,"k’icu",n2,tooth," 
",2009-11-03
1131,1131,"k’irik’",v,frighten," 
",2010-08-06
1132,1132,"k’irił",v,run.away," 
",2007-12-06
1133,1133,"K’it’i",n1,Kiti,"personal name",2009-08-25
1134,1134,"k’it’i",n4,stick," 
",2009-07-31
1135,1135,"k’od",n2,bunch," 
",2007-12-06
1136,1136,"k’oƛi",v,"run; jump","Usually means 'run'. ""hawatlh' k'otlhi-"" = to fly (so it actually means 'to proceed/move very quickly'!)
",2014-06-25
1137,1137,"k’oƛi-c’ox",v,run," 
",2010-06-08
1138,1138,"k’omo",n2,ball," 
",2009-09-28
1139,1139,"k’onč’u",n2,"foot; leg","Dict.: class III; Arsen and the texts indicate it's II!",2014-06-25
1140,1140,"k’ori",n3,oatmeal," 
",2008-05-15
1141,1141,"k’ot’-mot’ono",adj,short," 
",2010-01-27
1142,1142,"k’ot’onił",v,become.shorter," 
",2010-01-14
1143,1143,"k’ot’ono",adj,short," 
",2010-01-21
1144,1144,"k’ox",adv,"again; twice"," 
",2007-04-06
1145,1145,"k’ox-łox",adv,twice.or.thrice,"Not in the Dictionary!",2009-08-24
1146,1146,"k’uci",n3,puppy," 
",2013-07-24
1147,1147,"k’udi",n3,vine,"Dict. doesn't have OBL form in ""k'udo-""",2014-05-20
1148,1148,"k’uk",n3,cap,"Dictionary has different OBL stem in ""k'ukre-""",2014-05-20
1149,1149,"k’uli",n,news,"Not in the Dictionary! (Arsen/translation: ""novost'""); not (necessarily) plural
",2014-06-25
1150,1150,"k’uli",n2,side.street," 
",2010-08-06
1151,1151,"k’uruč’",n,Kuruch,"Whatever this is...",2008-09-16
1152,1152,la,excl,not[Arab.],"""la hhawla wala q'uwata illa billahi"" = 'there is no change and no power except by Allah'
",2014-06-25
1153,1153,-la,nsuf,END,"endearment suffix",2008-08-12
1154,1154,laga,n3,body,"""buyxor laga baya"" = the true body comes = 'come to senses'",2014-06-25
1155,1155,"laɣ",n1,slave," 
",2006-11-15
1156,1156,"laɣłi",n4,slavery," 
",2007-06-17
1157,1157,"lalaši",v,spread,itr.,2009-03-30
1158,1158,lamus,n3,"conscience; shame"," 
",2010-01-27
1159,1159,lamusaw,adj,shameful,"Dict.: ""lamusab""",2010-01-27
1160,1160,landi,n4,splinter," 
",2007-01-21
1161,1161,lapi,n3,flare,"Not in the Dictionary!",2009-04-28
1162,1162,-law,nsuf,VOC,"According to Arsen, a kind of vocative suffix which appears often in fairy tales and folklore texts but seldom in real life.
",2014-06-25
1163,1163,le,excl,hey,"Not in the Dictionary! (Arsen: ""ej"")",2013-08-04
1164,1164,lel,n2,"wing; feather","Dictionary has ""lela"" (class IV), but it is class II in the texts, and the absolutive seems to be ""lel"", so I changed it. There also seem to be
 two oblique forms: ""lel-"" and ""lela-"" (see Aliqilich.148)
",2014-06-25
1165,1165,lidu,n2,paw," 
",2014-04-07
1166,1166,"liɣˤonyad",v,be.lame," 
",2010-06-21
1167,1167,lilyo,n3,"river.bank; strap"," 
",2009-04-06
1168,1168,litra,n3,liter,"'100 liter milk' = '100 liter milk-GEN1'!",2014-05-20
1169,1169,"-ł",nsuf,CONT.ESS,"also used on ""(ader) zamanalh"" ('in earlier times) and on ""shibaw ghudelh"" = (every day) and on ""sida qulh"" (one day); non-temporal
 meaning: ""among"" or ""on"" (a marriage) or ""in"" (a story)... also sth.
 like with/about (Widow.017, Prince_and_Princess.057); literal
 meaning also ""inbetween"" (see Wise.037: ""between their teeth"") or
 ""through"" (Prince_and_Princess.090)
",2014-06-25
1170,1170,"-ł",vsuf,"POT; ITR","for the POT, the subject is usually in the POSS.ESS",2014-06-25
1171,1171,"ła",pron,who.OBL," 
",2014-05-27
1172,1172,"-ła",nsuf,DUB,"dubitative, according to Arsen; sometimes also called ""potential"", as in Sheikh.007
",2014-06-25
1173,1173,"łaci",n4,wind," 
",2007-01-10
1174,1174,"łaci-muši",n4,wind,"Not in the Dictionary! (Arsen: ""veter-vozdux"")",2014-05-20
1175,1175,"łaciraq",n1,light-headed.person,"Not in the Dictionary! (Dict. only has ""lhacirak'u"" = 'ventiljator'; Arsen: ""vetrogon"")
",2014-06-25
1176,1176,"łaħi",v,"leave.behind; forget","It probably also means ""don't know"" (see Bilqisdi.085)...",2014-06-25
1177,1177,"łana",pron,what.OBL,"Dict.: ""lhina-..."" (not sure, if it's the same; Arsen: ""veshch'"" [=thing])",2014-06-25
1178,1178,"łarašaw",adj,pregnant," 
",2006-09-17
1179,1179,"łas",v,fade,"Dict. doesn't have ""utixat'"" as a translation.",2014-05-20
1180,1180,"łay",n3,mind,"Dict. doesn't have OBL form in ""-mo-""; ""lhaymotlh'ay ik'ace"" = 'until he went out of his mind' = 'to unconsciousness'
",2014-06-25
1181,1181,"-łay",nsuf,CONT.ABL,"can mean ""about"" and ""out of, among"" (e.g. ""1 out of 9 cakes..."" or ""out of their teeth"" or ""anyone of us"") or ""after (some time)"" as in
 ""zamanalhäy""; also used for the source of transformations (""X
 became an Y"" = ""X-CONT.ABL Y -oq-""); or ""(pull out hairs) from
 (the tail)"" and ""(hatch) from (an egg)""
",2014-06-25
1182,1182,"łay-qʷay",n3,acquaintance," 
",2009-08-02
1183,1183,"-łaz",nsuf,CONT.ESS.DIST," 
",2009-05-15
1184,1184,"-łaza",nsuf,CONT.VERS.DIST,"used for ""over"" (like crossing a sea) or ""after some (time)"" (see Oku.027 or Uneyzat.145)
",2014-06-25
1185,1185,"-łazay",nsuf,CONT.ABL.DIST," 
",2007-04-06
1186,1186,"łebelaw",n1,Tlyarata,"a person from the tlyaratinskij rayon in Dagestan where people speak the ""Antsukh"" dialect of Avar
",2014-06-25
1187,1187,"łeɣi",v,"grasp; clutch","intransitive! at = POSS.ESS / SUPER.ESS",2014-05-20
1188,1188,"łeɣir",v,glue,Transitive!,2007-07-05
1189,1189,"łek’ir",v,stir," 
",2008-05-19
1190,1190,"łek’i-tuti",v,begin,"Not in the Dictionary! (not even ""lhek'i-"")",2014-05-20
1191,1191,"łek’i-tuti",v,begin,"Not in the Dictionary! (Arsen: ""pristupit'"")",2014-05-20
1192,1192,"łel",n4,sheath,"Dict. doesn't have a special OBL form.",2014-05-14
1193,1193,"łelaw",adj,by.foot,"Not in the Dictionary!",2008-10-10
1194,1194,"łełi",v,trample.down," 
",2010-08-07
1195,1195,"łemu",conj,"then.would; otherwise"," 
",2009-05-26
1196,1196,"łeno",num,five," 
",2007-07-31
1197,1197,"łeno-iłno",num,five.or.six,"Not in the Dictionary!",2010-02-26
1198,1198,"-łer",nsuf,CONT.LAT,"as in: ""to the (middle of the) sea"" (with a boat) AND ""into the sea"" (jumping); also used in Wise.010: ""sadness-CONT.LAT egin"" (lit.
 'went into sadness')
",2014-06-25
1199,1199,"łera",num,five.OBL," 
",2007-07-31
